--------------------
BDMEP - INMET
--------------------
Estação           : MANAUS - AM (OMM: 82331)
Latitude  (graus) : -3.1
Longitude (graus) : -60.01
Altitude  (metros): 61.25
Estação Operante
Inicio de operação: 01/01/1910
Periodo solicitado dos dados: 01/01/1998 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82331;01/01/1998;0000;25;24;92;1003.7;0;0;0;
82331;01/01/1998;1200;25.2;24.8;97;1009.9;0;0;10;
82331;01/01/1998;1800;23.4;23;97;1008.6;0;0;10;
82331;02/01/1998;0000;24.4;24;97;1005.1;0;0;10;
82331;02/01/1998;1200;25;24.6;97;1008.6;0;0;10;
82331;02/01/1998;1800;25.2;24.6;95;1007.3;0;0;10;
82331;03/01/1998;0000;25;24.4;95;1004.4;0;0;0;
82331;03/01/1998;1200;25.6;25.2;97;1007.2;0;0;10;
82331;03/01/1998;1800;26.6;25.2;89;1004.7;0;0;10;
82331;04/01/1998;0000;25.2;24.8;97;1005.7;0;0;10;
82331;04/01/1998;1200;25.4;24.4;92;1006.2;0;0;10;
82331;04/01/1998;1800;29;25.4;75;1004.7;0;0;8;
82331;05/01/1998;0000;26.8;25.4;89;1003.2;0;0;0;
82331;05/01/1998;1200;23.2;22.4;93;1007;9;2;10;
82331;05/01/1998;1800;23.2;22.8;97;1003.7;0;0;10;
82331;06/01/1998;0000;24.4;24;97;1003.1;0;0;10;
82331;06/01/1998;1200;24.4;24.2;98;1007.1;0;0;10;
82331;06/01/1998;1800;30.6;27.4;78;1004;9;2;10;
82331;07/01/1998;0000;27.4;26.4;92;1002.6;0;0;0;
82331;07/01/1998;1200;27.2;25.2;85;1006.3;0;0;8;
82331;07/01/1998;1800;33;27.8;67;1004.4;0;0;8;
82331;08/01/1998;0000;27;25;85;1003;0;0;0;
82331;08/01/1998;1200;26.2;24.6;88;1006.1;0;0;10;
82331;08/01/1998;1800;32.4;27.8;70;1004.2;9;2;6;
82331;09/01/1998;0000;26.8;25;86;1004.5;0;0;10;
82331;09/01/1998;1200;24.4;24;97;1008.3;5;2;10;
82331;09/01/1998;1800;28;25.6;83;1007.3;0;0;10;
82331;10/01/1998;0000;25.6;25;95;1005.2;0;0;10;
82331;10/01/1998;1200;24;23;92;1008.8;5;3;10;
82331;10/01/1998;1800;31.2;26;66;1005.7;0;0;5;
82331;11/01/1998;0000;27.2;24.4;80;1006.7;0;0;0;
82331;11/01/1998;1200;26.8;25;86;1007.7;0;0;10;
82331;11/01/1998;1800;31.2;26.6;70;1004.9;9;2;6;
82331;12/01/1998;0000;26.6;25.4;91;1004.4;0;0;8;
82331;12/01/1998;1200;27.6;26.2;90;1006.9;0;0;4;
82331;12/01/1998;1800;33.2;27.6;65;1005.3;9;2;4;
82331;13/01/1998;0000;27.2;24.6;81;1004.4;0;0;10;
82331;13/01/1998;1200;26.8;25.4;89;1007.1;0;0;10;
82331;13/01/1998;1800;31;26.4;70;1004.5;0;0;6;
82331;14/01/1998;0000;27.4;26.8;95;1003;0;0;4;
82331;14/01/1998;1200;27.2;25.4;87;1005.9;0;0;10;
82331;14/01/1998;1800;28.4;26.2;84;1003.8;0;0;8;
82331;15/01/1998;0000;26.6;25.8;94;1004.3;0;0;10;
82331;15/01/1998;1200;24;23.8;98;1007;0;0;10;
82331;15/01/1998;1800;24.2;23.6;95;1007;0;0;10;
82331;16/01/1998;0000;24.6;23.8;94;1004.8;9;1;9;
82331;16/01/1998;1200;25.2;24.2;92;1007;0;0;8;
82331;16/01/1998;1800;31.8;27;69;1004.8;9;2;8;
82331;17/01/1998;0000;28;26;85;1004.5;9;2;8;
82331;17/01/1998;1200;27.8;25.6;84;1007.5;0;0;8;
82331;17/01/1998;1800;30.6;27.6;80;1004;0;0;8;
82331;18/01/1998;0000;25.6;24.6;92;1004.9;0;0;10;
82331;18/01/1998;1200;26;25.2;94;1006.8;0;0;10;
82331;18/01/1998;1800;26.8;25.2;88;1003.5;0;0;8;
82331;19/01/1998;0000;25.4;24.4;92;1004.4;36;2;10;
82331;19/01/1998;1200;25;24;92;1007.4;0;0;10;
82331;19/01/1998;1800;28.2;24.8;76;1005.1;9;2;8;
82331;20/01/1998;0000;26;24.8;91;1003.9;0;0;0;
82331;20/01/1998;1200;24;23.6;97;1007.2;0;0;10;
82331;20/01/1998;1800;30.2;27;78;1004.5;5;2;8;
82331;21/01/1998;0000;28;24.8;77;1003.8;0;0;0;
82331;21/01/1998;1200;26.6;25.6;92;1007.1;0;0;10;
82331;21/01/1998;1800;27.2;25.2;85;1005.7;5;2;10;
82331;22/01/1998;0000;26;24.6;89;1003.9;0;0;0;
82331;22/01/1998;1200;26.4;25;89;1007.4;0;0;10;
82331;22/01/1998;1800;30.8;27.2;76;1004.3;9;2;8;
82331;23/01/1998;0000;27.2;26.2;92;1003.5;0;0;10;
82331;23/01/1998;1200;26;25;92;1006.9;9;2;10;
82331;23/01/1998;1800;30.2;25.6;69;1003.6;0;0;8;
82331;24/01/1998;0000;28.6;24.6;72;1003.3;0;0;0;
82331;24/01/1998;1200;27.2;25;84;1006.1;0;0;6;
82331;24/01/1998;1800;33;26.2;59;1004.1;9;3;6;
82331;25/01/1998;0000;29.8;25;68;1003.4;0;0;8;
82331;25/01/1998;1200;27;23.6;75;1005.8;5;3;10;
82331;25/01/1998;1800;31;24.2;57;1004.9;5;3;8;
82331;26/01/1998;0000;28.2;25.4;80;1004.3;0;0;8;
82331;26/01/1998;1200;27.2;25;84;995.6;5;2;10;
82331;26/01/1998;1800;30.8;25.8;67;1005.9;9;2;8;
82331;27/01/1998;0000;27;25;85;1006.2;9;2;10;
82331;27/01/1998;1200;26.4;24.8;88;1007.9;0;0;10;
82331;27/01/1998;1800;29;25.6;76;1006.5;9;2;10;
82331;28/01/1998;0000;27;25.6;89;1005.5;0;0;0;
82331;28/01/1998;1200;27.2;25.4;87;1007.8;0;0;10;
82331;28/01/1998;1800;29.4;25.8;75;1006.6;0;0;8;
82331;29/01/1998;0000;27.8;26;87;1007;0;0;6;
82331;29/01/1998;1200;29.2;26.2;79;1008.5;9;2;4;
82331;29/01/1998;1800;33.2;26.2;58;1005.8;0;0;6;
82331;30/01/1998;0000;27.6;25.4;84;1006.8;0;0;0;
82331;30/01/1998;1200;27;25.4;88;1008.2;0;0;8;
82331;30/01/1998;1800;31;26.6;71;1004.5;0;0;8;
82331;31/01/1998;0000;28.6;24.8;73;1004.1;0;0;6;
82331;31/01/1998;1200;26.6;25.6;92;1008.5;9;2;10;
82331;31/01/1998;1800;31;26.4;70;1005.5;9;3;6;
82331;01/02/1998;0000;26.6;25;88;1004.8;9;2;4;
82331;01/02/1998;1200;27.4;24.8;81;1008.2;9;2;8;
82331;01/02/1998;1800;33.4;26.4;58;1006;9;2;4;
82331;02/02/1998;0000;30;25.8;72;1004;0;0;0;
82331;02/02/1998;1200;29;27;86;1007.6;0;0;4;
82331;02/02/1998;1800;33.2;27.2;63;1002.8;9;2;6;
82331;03/02/1998;0000;30.6;26.6;73;1003.1;0;0;0;
82331;03/02/1998;1200;29.6;27;82;1005.9;0;0;6;
82331;03/02/1998;1800;25.4;24.8;95;1004.6;0;0;10;
82331;04/02/1998;0000;26;24.8;91;1004.1;0;0;0;
82331;04/02/1998;1200;26.2;25.4;94;1007.8;0;0;10;
82331;04/02/1998;1800;30.8;27;75;1004;0;0;10;
82331;05/02/1998;0000;26.8;26.4;97;1004;0;0;10;
82331;05/02/1998;1200;27;26;92;1007.5;0;0;10;
82331;05/02/1998;1800;31;27.2;75;1004.4;0;0;8;
82331;06/02/1998;0000;27.6;26.6;92;1004;0;0;0;
82331;06/02/1998;1200;27;26.2;94;1007.8;0;0;8;
82331;06/02/1998;1800;33.8;29;70;1004.5;0;0;8;
82331;07/02/1998;0000;26.8;26.2;95;1007.2;0;0;10;
82331;07/02/1998;1200;24.4;23.6;94;1008.8;0;0;10;
82331;07/02/1998;1800;31;27;73;1006.8;0;0;10;
82331;08/02/1998;0000;28.8;26.8;86;1005.9;0;0;0;
82331;08/02/1998;1200;27.4;26.4;92;1008.1;0;0;10;
82331;08/02/1998;1800;25.4;25;97;1007.3;0;0;10;
82331;09/02/1998;0000;26;25.4;95;966.2;0;0;10;
82331;09/02/1998;1200;26.4;25.6;94;1007.8;0;0;8;
82331;09/02/1998;1800;33.2;28.2;69;1004.9;9;2;8;
82331;10/02/1998;0000;29.6;26;75;1004.7;0;0;10;
82331;10/02/1998;1200;28.6;27.6;93;1007.3;0;0;10;
82331;10/02/1998;1800;34;29;69;1004.4;0;0;8;
82331;11/02/1998;0000;30;27.2;81;1005.3;0;0;10;
82331;11/02/1998;1200;27.2;26.2;92;1009.4;0;0;10;
82331;11/02/1998;1800;31;27.6;77;1006.6;0;0;10;
82331;12/02/1998;0000;25.4;24.6;94;1007.9;0;0;10;
82331;12/02/1998;1200;25.4;24.6;94;1009.8;0;0;10;
82331;12/02/1998;1800;32.2;27.2;68;1004.6;18;2;6;
82331;13/02/1998;0000;27;25;85;1007.3;0;0;4;
82331;13/02/1998;1200;26;25.2;94;1008.7;0;0;10;
82331;13/02/1998;1800;30;27.4;82;1006.6;0;0;8;
82331;14/02/1998;0000;27.2;26.5;95;1006.9;0;0;10;
82331;14/02/1998;1200;26.8;25.2;88;1008.8;0;0;10;
82331;14/02/1998;1800;28.2;26;84;1006.9;0;0;10;
82331;15/02/1998;0000;26;25.4;95;1007.2;0;0;8;
82331;15/02/1998;1200;26;24.8;91;1009.3;0;0;10;
82331;15/02/1998;1800;32.6;27;65;1006.9;0;0;8;
82331;16/02/1998;0000;28.6;26;81;1006.8;0;0;0;
82331;16/02/1998;1200;26.8;26.2;95;996.2;0;0;10;
82331;16/02/1998;1800;33.2;27.6;65;1004.8;9;2;6;
82331;17/02/1998;0000;29.2;26;78;1005.6;0;0;0;
82331;17/02/1998;1200;28;26.2;87;1007.6;0;0;6;
82331;17/02/1998;1800;32.6;27.4;67;1004;5;2;4;
82331;18/02/1998;0000;29.4;26;76;1003.1;0;0;0;
82331;18/02/1998;1200;28.6;25.6;79;1006;5;2;6;
82331;18/02/1998;1800;32.6;26.8;64;1005.1;9;2;6;
82331;19/02/1998;0000;28.2;25;77;1004.1;0;0;2;
82331;19/02/1998;1200;28;25.2;80;1006.4;5;2;0;
82331;19/02/1998;1800;33.2;27;62;1003;9;2;4;
82331;20/02/1998;0000;30.2;25.4;68;1003;0;0;0;
82331;20/02/1998;1200;27;26;92;1006.5;9;2;10;
82331;20/02/1998;1800;26.6;25.2;89;1004.9;5;2;10;
82331;21/02/1998;0000;27;25.4;88;1004.8;5;2;10;
82331;21/02/1998;1200;26.6;25.2;89;1006.9;9;3;10;
82331;21/02/1998;1800;25;24.4;95;1007.6;9;2;10;
82331;22/02/1998;0000;25;24;92;1006.5;0;0;4;
82331;22/02/1998;1200;25.6;24.2;89;1007.5;9;2;10;
82331;22/02/1998;1800;31.4;26.6;69;1005.6;5;2;4;
82331;23/02/1998;0000;26.8;25.6;91;1006.5;9;2;10;
82331;23/02/1998;1200;26.2;25.6;95;1008.2;9;2;10;
82331;23/02/1998;1800;27;24.8;84;1005.9;5;2;10;
