--------------------
BDMEP - INMET
--------------------
Estação           : SAO LUIS - MA (OMM: 82280)
Latitude  (graus) : -2.53
Longitude (graus) : -44.21
Altitude  (metros): 50.86
Estação Operante
Inicio de operação: 18/11/1924
Periodo solicitado dos dados: 01/01/1998 a 31/12/2017
Os dados listados abaixo são os que encontram-se digitados no BDMEP
Hora em UTC
--------------------
Obs.: Os dados aparecem separados por ; (ponto e vírgula) no formato txt.
      Para o formato planilha XLS, siga as instruções
--------------------
Estacao;Data;Hora;TempBulboSeco;TempBulboUmido;UmidadeRelativa;PressaoAtmEstacao;DirecaoVento;VelocidadeVento;Nebulosidade;
82280;01/01/1998;0000;26.4;24.6;86;1004.5;;;1;
82280;01/01/1998;1200;29.6;25;69;1006.1;;;6;
82280;01/01/1998;1800;30.8;26;68;1003.4;;;6;
82280;02/01/1998;0000;27;24.6;82;1006;;;5;
82280;02/01/1998;1200;28.8;24.8;72;1006.1;;;8;
82280;02/01/1998;1800;31.6;25.6;62;1003;;;7;
82280;03/01/1998;0000;26.4;24.2;83;1004.5;;;3;
82280;03/01/1998;1200;29;25;72;1004.7;;;8;
82280;03/01/1998;1800;29.2;25.3;73;1002.6;;;8;
82280;04/01/1998;0000;27;24.8;84;1004.8;;;8;
82280;04/01/1998;1200;29.2;25.4;74;1005;;;5;
82280;04/01/1998;1800;31.8;26.4;66;1002;;;5;
82280;05/01/1998;0000;26.8;25;86;1003.3;;;5;
82280;05/01/1998;1200;29.8;25;68;1003.7;;;5;
82280;05/01/1998;1800;32.6;26.6;63;1001.4;;;3;
82280;06/01/1998;0000;26.4;24.6;86;1002.4;;;1;
82280;06/01/1998;1200;29.8;25.8;73;1004.3;;;5;
82280;06/01/1998;1800;31.6;25.6;62;1001;;;2;
82280;07/01/1998;0000;27;25.2;87;1002.4;;;3;
82280;07/01/1998;1200;29.6;25.4;71;1004.3;;;6;
82280;07/01/1998;1800;30.8;25.8;67;1001.7;;;8;
82280;08/01/1998;0000;27;25.2;87;1003.1;;;3;
82280;08/01/1998;1200;29;25;72;1004.7;;;8;
82280;08/01/1998;1800;28.6;25;75;1002.9;;;0;
82280;09/01/1998;0000;26.4;25.4;92;1004.5;;;9;
82280;09/01/1998;1200;28.4;25.4;79;1005.6;;;8;
82280;09/01/1998;1800;28.6;25.8;80;1002.7;;;0;
82280;10/01/1998;0000;27.2;25.6;88;1004.9;;;8;
82280;10/01/1998;1200;29.2;25;71;1005.6;;;8;
82280;10/01/1998;1800;30;26;73;1003.2;;;8;
82280;11/01/1998;0000;26.8;25;86;1004.5;;;8;
82280;11/01/1998;1200;28.8;25.8;79;1005.6;;;8;
82280;11/01/1998;1800;30;25;67;1003.2;;;8;
82280;12/01/1998;0000;24.8;23;86;1005.8;;;0;
82280;12/01/1998;1200;27.6;24.6;78;1004.7;;;8;
82280;12/01/1998;1800;29.6;26;75;1003.2;;;10;
82280;13/01/1998;0000;25.2;24;91;1004.9;;;10;
82280;13/01/1998;1200;29;25.2;74;1005.6;;;10;
82280;13/01/1998;1800;26.4;25;89;1002.9;;;10;
82280;14/01/1998;0000;26.6;24.8;86;1004;;;10;
82280;14/01/1998;1200;29.2;26;78;1004;;;8;
82280;14/01/1998;1800;30.4;26;71;1001.8;;;6;
82280;15/01/1998;0000;26.4;24.4;85;1003.3;;;7;
82280;15/01/1998;1200;27.2;25;84;1004.7;;;8;
